shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_VP08_1,21.33715982,105.6747363,83
shape_VP08_1,21.33712819,105.6755988,84
shape_VP08_1,21.33712133,105.6761297,85
shape_VP08_1,21.33495281,105.6875353,86
shape_VP08_1,21.32892616,105.6859222,87
shape_VP08_1,21.32122101,105.6840702,88
shape_VP08_1,21.31859686,105.6834469,89
shape_VP08_1,21.30437491,105.6808135,90
shape_VP08_1,21.3036,105.6799285,91
shape_VP08_1,21.29676825,105.6729996,92
shape_VP08_1,21.29592912,105.6722856,93
shape_VP08_1,21.28737391,105.6700319,94
shape_VP08_1,21.2771202,105.6737313,95
shape_VP08_1,21.27562694,105.6737539,96
shape_VP08_1,21.27367852,105.6731101,97
shape_VP08_1,21.26561703,105.6702916,98
shape_VP08_1,21.2610984,105.6687055,99
shape_VP08_1,21.25554652,105.6668223,100
shape_VP08_1,21.25629529,105.6657241,101
shape_VP08_1,21.25821067,105.6594534,102
shape_VP08_1,21.26119341,105.6555625,103
shape_VP08_1,21.26150859,105.6548879,104
shape_VP08_1,21.26132362,105.6539903,105
shape_VP08_1,21.26061316,105.6538775,106
shape_VP08_1,21.25812022,105.6511574,107
shape_VP08_1,21.25781508,105.6491936,108
shape_VP08_1,21.25803875,105.6482615,109
shape_VP08_1,21.25881647,105.6472563,110
shape_VP08_1,21.25925129,105.6455683,111
shape_VP08_1,21.25884043,105.6424751,112
shape_VP08_1,21.257784,105.6422119,113
shape_VP08_1,21.2553963,105.6400083,114
shape_VP08_1,21.25393063,105.6392133,115
shape_VP08_1,21.25102925,105.6377435,116
shape_VP08_1,21.2503086,105.637199,117
shape_VP08_1,21.24883347,105.6361879,118
shape_VP08_1,21.2472863,105.635827,119
shape_VP08_1,21.24674004,105.6351795,120
shape_VP08_1,21.24672439,105.6340592,121
shape_VP08_1,21.24592747,105.6305243,122
shape_VP08_1,21.2407161,105.6234934,123
shape_VP08_1,21.23334165,105.6139308,124
shape_VP08_1,21.2308815,105.6109034,125
shape_VP08_1,21.22420514,105.6092633,126
shape_VP08_1,21.22434714,105.6090531,127
shape_VP08_1,21.22628305,105.6054546,128
shape_VP08_1,21.22838762,105.5985412,129
shape_VP08_1,21.22954271,105.5970124,130
shape_VP08_1,21.23094695,105.590982,131
shape_VP08_1,21.23152715,105.5896758,132
shape_VP08_1,21.23386666,105.5848598,133
shape_VP08_1,21.23407541,105.5837888,134
shape_VP08_1,21.2341404,105.5800385,135
shape_VP08_1,21.23447309,105.5772345,136
