stop_id,stop_name,stop_lat,stop_lon
1VTG32,Bến xe khách TT Vĩnh Tường,21.21432757,105.5146845
1VTG33,UBND xã Tứ Trưng,21.20896446,105.5198578
1VTG34,HTX Tứ Trưng,21.20461837,105.5221878
1VTG35,Đầu đường rẽ đi Yên Đồng,21.20214185,105.5248345
1VTG36,Thôn Thị - Tứ Trưng,21.20477915,105.5287274
1VYN00,Big C Vĩnh Phúc,21.29448867,105.6306133
1VYN01,Bến xe vĩnh Yên,21.30106823,105.6268
1VYN02,Công ty Power,21.30441633,105.6249
1VYN03,Công ty vina Korea,21.30959899,105.6242
1VYN04,Công ty Shinwon,21.31205532,105.6231
1VYN05,Sở Cảnh sát & PCCC,21.31499863,105.6197309
1VYN06,Co.opmart Vĩnh Phúc,21.31268623,105.6149549
1VYN07,Chi cục Dân số KHHGĐ,21.31314352,105.6117381
1VYN08,Ngân hàng ACB,21.31471677,105.6066523
1VYN09,Đầu đường Bà Triệu,21.31384306,105.6006107
1VYN10,Đường Kim Ngọc,21.31295878,105.596253
1VYN11,Kho bạc tỉnh Vĩnh Phúc,21.30954748,105.5940813
1VYN12,UBND TP Vĩnh Yên,21.30884311,105.5898164
1VYN13,Công An Phường Tích Sơn,21.30762081,105.5838779
1VYN14,Cầu Oai,21.30645698,105.5761083
1VYN15,Ngã ba Tam Dương,21.30610016,105.572654
1VYN16,Bưu cục Đồng Tâm,21.30511407,105.5676001
1VYN17,Cao đẳng Kinh tế Kỹ thuật Vĩnh Phúc,21.30175349,105.5625499
1VYN18,Ngã tư Quán Tiên,21.29957884,105.5599036
1VYN19,Trường THPT Vĩnh Yên,21.29644547,105.5562181
1VYN20,Ngã tư Hợp Thịnh,21.29402489,105.5534104
1YLC01,Bệnh viện Sản nhi,21.28115166,105.5422418
1YLC02,UBND xã Đồng Văn,21.26929125,105.5423934
1YLC03,Ngã tư Đồng Lạc,21.26013482,105.5397068
1YLC04,Trường Tiểu học Yên Đồng,21.21498619,105.5459875
1YLC05,Yên Đồng,21.21694504,105.5507537
1YLC06,Cổng làng Bình Lâm,21.22113935,105.5612394
1YLC07,UBND xã Tam Hồng,21.22324818,105.5666226
1YLC08,Ngã ba Gốc Đề,21.22634804,105.5719029
1YLC09,Cổng Bệnh viện huyện Yên Lạc,21.23152164,105.5735348
1YLC10,UBND huyện Yên Lạc,21.23412327,105.5743477
1YLC11,Trường THCS Yên Lạc,21.2341404,105.5800385
1YLC12,Cổng làng Vĩnh Đông,21.23407541,105.5837888
1YLC13,Chùa Biện Sơn,21.23152715,105.5896758
1YLC14,Cầu Trắng Đinh Xá,21.22434714,105.6090531
